userid,start,end,slp.quality,time.in.bed,day,go.to.bed,wake.up,night.sleep,WeekDay
5,2018-04-11T12:35:00Z,2018-04-11T20:27:00Z,0.83,471,2018-04-12,22,6,TRUE,Thursday
5,2018-04-12T11:49:00Z,2018-04-12T20:43:00Z,0.97,534,2018-04-13,21,6,TRUE,Friday
5,2018-04-13T04:04:00Z,2018-04-13T04:26:00Z,0.04,22,2018-04-13,14,14,FALSE,Friday
5,2018-04-13T12:13:00Z,2018-04-13T21:00:00Z,0.69,466,2018-04-14,22,7,TRUE,Saturday
5,2018-04-14T12:36:00Z,2018-04-14T21:03:00Z,0.92,517,2018-04-15,22,7,TRUE,Sunday
5,2018-04-15T12:03:00Z,2018-04-15T19:55:00Z,0.84,471,2018-04-16,22,5,TRUE,Monday
5,2018-04-16T11:39:00Z,2018-04-16T20:00:00Z,0.62,500,2018-04-17,21,6,TRUE,Tuesday
5,2018-04-17T12:04:00Z,2018-04-17T20:11:00Z,0.96,486,2018-04-18,22,6,TRUE,Wednesday
5,2018-04-18T11:42:00Z,2018-04-18T20:15:00Z,0.92,512,2018-04-19,21,6,TRUE,Thursday
5,2018-04-19T12:05:00Z,2018-04-19T20:35:00Z,1,513,2018-04-20,22,6,TRUE,Friday
5,2018-04-20T12:48:00Z,2018-04-20T20:34:00Z,0.92,465,2018-04-21,22,6,TRUE,Saturday
5,2018-04-21T04:40:00Z,2018-04-21T06:35:00Z,0.21,115,2018-04-21,14,16,FALSE,Saturday
5,2018-04-20T14:04:00Z,2018-04-22T10:20:00Z,0.67,496,2018-04-22,0,20,TRUE,Sunday
5,2018-04-22T11:40:00Z,2018-04-22T20:32:00Z,0.93,532,2018-04-23,21,6,TRUE,Monday
5,2018-04-23T12:11:00Z,2018-04-23T20:28:00Z,0.9,496,2018-04-24,22,6,TRUE,Tuesday
5,2018-04-24T12:35:00Z,2018-04-24T20:45:00Z,0.76,490,2018-04-25,22,6,TRUE,Wednesday
5,2018-04-25T12:02:00Z,2018-04-25T20:48:00Z,0.85,526,2018-04-26,22,6,TRUE,Thursday
5,2018-04-26T12:00:00Z,2018-04-26T20:29:00Z,0.88,508,2018-04-27,22,6,TRUE,Friday
5,2018-04-27T12:18:00Z,2018-04-27T20:48:00Z,0.75,465,2018-04-28,22,6,TRUE,Saturday
5,2018-04-28T11:11:00Z,2018-04-28T20:15:00Z,0.79,544,2018-04-29,21,6,TRUE,Sunday
5,2018-04-29T02:52:00Z,2018-04-29T04:27:00Z,0.18,95,2018-04-29,12,14,FALSE,Sunday
5,2018-04-29T12:38:00Z,2018-04-29T20:17:00Z,0.71,458,2018-04-30,22,6,TRUE,Monday
6,2018-03-30T13:43:00Z,2018-03-30T21:23:00Z,0.79,460,2018-03-31,0,8,TRUE,Saturday
6,2018-03-31T14:12:00Z,2018-03-31T20:57:00Z,0.61,405,2018-04-01,1,6,TRUE,Sunday
6,2018-04-01T15:36:00Z,2018-04-01T21:58:00Z,0.55,381,2018-04-02,1,7,TRUE,Monday
