date,industry,location,monthly_mean
2013-09-01,3,9,706521.4916
2013-09-01,4,1,264932.0046388889
2013-09-01,4,2,196001.5997073684
2013-09-01,4,3,211085.982575
2013-09-01,4,4,215378.8971475
2013-09-01,4,5,292809.5118104
2013-09-01,4,6,480331.5425
2013-09-01,4,7,361057.992514
2013-09-01,4,8,172610.95970846154
2013-09-01,4,9,187650.07374545455
2013-09-01,4,10,228478.35827
2013-09-01,5,1,651966.5156684616
2013-09-01,5,2,344065.81431499997
2013-09-01,5,3,346024.5984
2013-09-01,5,4,605541.9987666667
2013-09-01,5,5,210578.6548
2013-09-01,5,6,637666.1494375
2013-09-01,5,7,381974.9908
2013-09-01,5,8,570392.56345
2013-09-01,5,9,710706.703975
2013-09-01,5,10,595698.8828
2013-09-01,6,1,23139375.18058333
2013-09-01,7,1,207850.48808857144
2013-09-01,7,2,247933.4231042857
2013-09-01,7,3,556962.6392666666
2013-09-01,7,4,476148.567975
2013-09-01,7,5,517592.86904714286
2013-09-01,7,6,161874.8626
2013-09-01,7,7,316964.86701875
2013-09-01,7,8,244460.67783333332
2013-09-01,7,9,597510.98804
2013-09-01,7,10,389533.4702
2013-09-01,8,1,609640.2277800001
2013-09-01,8,2,355804.12942
2013-09-01,8,3,860379.5086000001
2013-09-01,8,4,377344.59423333337
2013-09-01,8,5,955805.324
2013-09-01,8,6,219402.06653
2013-09-01,8,7,1002759.067
2013-09-01,8,8,421130.74391666666
2013-09-01,8,9,320032.5405125
2013-09-01,8,10,193149.449275
2013-09-01,9,1,204677.325685
2013-09-01,9,2,598491.1080488
2013-09-01,9,3,471284.7422833333
2013-09-01,9,4,1958106.84735
2013-09-01,9,5,64060.53538
2013-09-01,9,7,691329.0939
2013-09-01,10,2,293141.3561
2013-09-01,10,3,79532.477
2013-09-01,10,4,74892.92686
2013-09-01,10,5,122695.34236857144
2013-09-01,10,7,177885.3511
2013-09-01,10,8,17688354.86995
2013-09-01,10,9,113968.1201
2013-10-01,1,1,163408.6994903896
2013-10-01,1,2,187360.5705734074
2013-10-01,1,3,155056.96900609374
2013-10-01,1,4,258906.69053726413
2013-10-01,1,5,193749.90480232323
2013-10-01,1,6,137018.3072010959
2013-10-01,1,7,181674.99867137932
2013-10-01,1,8,131059.30361999999
2013-10-01,1,9,187285.52197
2013-10-01,1,10,209447.52382027777
2013-10-01,2,1,433297.04991572915
2013-10-01,2,2,331356.80058181816
2013-10-01,2,3,273418.9557155
2013-10-01,2,4,410224.36864666664
2013-10-01,2,5,307388.71068799996
2013-10-01,2,6,270131.16571083333
2013-10-01,2,7,369401.54727863637
2013-10-01,2,8,343208.38709
2013-10-01,2,9,414939.25623846153
2013-10-01,2,10,234685.49753
2013-10-01,3,1,655361.2290618919
2013-10-01,3,2,480865.4371488
2013-10-01,3,3,558434.9238
2013-10-01,3,4,511616.3452625
2013-10-01,3,5,413352.4165
2013-10-01,3,7,374325.24135
2013-10-01,3,9,711371.9698
2013-10-01,4,1,264316.20718333335
2013-10-01,4,2,199303.0706131579
2013-10-01,4,3,196636.416252
2013-10-01,4,4,229443.39647333333
2013-10-01,4,5,317753.275225
2013-10-01,4,6,597532.5164000001
2013-10-01,4,7,391121.656049375
2013-10-01,4,8,175549.11680714285
2013-10-01,4,9,173109.85974916667
2013-10-01,4,10,241930.542274
2013-10-01,5,1,676950.8973630769
2013-10-01,5,2,336580.37502
2013-10-01,5,3,332756.2011
2013-10-01,5,4,563432.0820857143
2013-10-01,5,5,209566.62829999998
2013-10-01,5,6,617713.5299333333
2013-10-01,5,7,395370.60305000003
2013-10-01,5,8,573857.4552750001
2013-10-01,5,9,690262.4763666666
2013-10-01,5,10,645022.8462
